step,throughput,mean_queue,max_queue,prop_congested_edges,prop_congested_nodes,delivered_cum,dropped_cum,generated_cum,mean_gen_rate
138,6,0.18,2,0.07142857142857142,0.0,547,0,556,0.08
139,3,0.16,2,0.1,0.0,550,0,558,0.08
140,3,0.2,2,0.08333333333333333,0.0,553,0,563,0.08
141,3,0.24,2,0.07142857142857142,0.0,556,0,568,0.08
142,6,0.22,2,0.0,0.0,562,0,573,0.08
143,3,0.18,1,0.0,0.0,565,0,574,0.08
144,7,0.14,2,0.0,0.0,572,0,579,0.08
145,4,0.26,2,0.0625,0.0,576,0,589,0.08
146,5,0.26,3,0.0,0.0,581,0,594,0.08
147,4,0.22,2,0.0,0.0,585,0,596,0.08
148,3,0.22,2,0.0,0.0,588,0,599,0.08
149,2,0.28,2,0.23076923076923078,0.0,590,0,604,0.08
150,8,0.2,2,0.125,0.0,598,0,608,0.08
151,4,0.26,2,0.13333333333333333,0.0,602,0,615,0.08
152,2,0.3,3,0.0625,0.0,604,0,619,0.08
153,2,0.28,3,0.06666666666666667,0.0,606,0,620,0.08
154,6,0.24,1,0.058823529411764705,0.0,612,0,624,0.08
155,5,0.28,4,0.05555555555555555,0.0,617,0,631,0.08
156,4,0.28,2,0.125,0.0,621,0,635,0.08
157,4,0.28,2,0.125,0.0,625,0,639,0.08
158,5,0.28,3,0.05555555555555555,0.0,630,0,644,0.08
159,9,0.2,2,0.0,0.0,639,0,649,0.08
160,2,0.24,1,0.07692307692307693,0.0,641,0,653,0.08
161,2,0.22,2,0.0,0.0,643,0,654,0.08
162,5,0.16,2,0.08333333333333333,0.0,648,0,656,0.08
163,5,0.18,2,0.07692307692307693,0.0,653,0,662,0.08
164,5,0.16,1,0.08333333333333333,0.0,658,0,666,0.08
165,4,0.16,1,0.0,0.0,662,0,670,0.08
166,2,0.18,1,0.0,0.0,664,0,673,0.08
167,3,0.2,2,0.0,0.0,667,0,677,0.08
168,6,0.16,1,0.0,0.0,673,0,681,0.08
169,2,0.14,2,0.0,0.0,675,0,682,0.08
170,4,0.16,1,0.09090909090909091,0.0,679,0,687,0.08
171,4,0.18,2,0.08333333333333333,0.0,683,0,692,0.08
172,3,0.22,2,0.07692307692307693,0.0,686,0,697,0.08
173,3,0.3,4,0.058823529411764705,0.0,689,0,704,0.08
174,7,0.26,2,0.05263157894736842,0.0,696,0,709,0.08
175,6,0.2,1,0.06666666666666667,0.0,702,0,712,0.08
176,4,0.16,1,0.0,0.0,706,0,714,0.08
177,4,0.26,2,0.0,0.0,710,0,723,0.08
178,6,0.2,2,0.14285714285714285,0.0,716,0,726,0.08
179,6,0.24,2,0.0,0.0,722,0,734,0.08
180,4,0.28,3,0.058823529411764705,0.0,726,0,740,0.08
181,3,0.34,3,0.05263157894736842,0.0,729,0,746,0.08
182,5,0.32,2,0.05,0.0,734,0,750,0.08
183,7,0.26,2,0.1111111111111111,0.0,741,0,754,0.08
184,7,0.18,2,0.14285714285714285,0.0,748,0,757,0.08
185,2,0.28,4,0.06666666666666667,0.0,750,0,764,0.08
186,3,0.28,7,0.07142857142857142,0.0,753,0,767,0.07919999999999999
187,3,0.28,5,0.16666666666666666,0.0,756,0,770,0.0788
188,6,0.24,3,0.13333333333333333,0.0,762,0,774,0.07919999999999999
189,5,0.24,4,0.0625,0.0,767,0,779,0.0796
190,5,0.2,2,0.25,0.0,772,0,782,0.08
191,4,0.22,2,0.07142857142857142,0.0,776,0,787,0.08
192,3,0.22,2,0.07692307692307693,0.0,779,0,790,0.08
193,4,0.26,2,0.0,0.0,783,0,796,0.08
194,5,0.26,2,0.125,0.0,788,0,801,0.08
195,6,0.26,3,0.26666666666666666,0.0,794,0,807,0.08
196,4,0.28,3,0.13333333333333333,0.0,798,0,812,0.08
197,4,0.28,2,0.13333333333333333,0.0,802,0,816,0.08
198,5,0.28,3,0.05555555555555555,0.0,807,0,821,0.08
199,4,0.26,2,0.13333333333333333,0.0,811,0,824,0.08
200,3,0.22,2,0.07692307692307693,0.0,814,0,825,0.08
201,6,0.18,2,0.07142857142857142,0.0,820,0,829,0.08
202,4,0.18,1,0.08333333333333333,0.0,824,0,833,0.08
203,3,0.18,2,0.09090909090909091,0.0,827,0,836,0.08
204,5,0.16,2,0.08333333333333333,0.0,832,0,840,0.08
205,2,0.22,1,0.0,0.0,834,0,845,0.08
206,3,0.24,2,0.0,0.0,837,0,849,0.08
207,1,0.28,3,0.07142857142857142,0.0,838,0,852,0.08
208,3,0.32,2,0.05555555555555555,0.0,841,0,857,0.08
209,6,0.24,1,0.2,0.0,847,0,859,0.08
210,2,0.3,2,0.0,0.0,849,0,864,0.08
211,8,0.18,1,0.0,0.0,857,0,866,0.08
212,4,0.14,2,0.0,0.0,861,0,868,0.08
213,2,0.12,1,0.0,0.0,863,0,869,0.08
214,2,0.16,2,0.0,0.0,865,0,873,0.08
215,1,0.22,2,0.0,0.0,866,0,877,0.08
216,6,0.1,1,0.0,0.0,872,0,877,0.08
217,3,0.08,1,0.0,0.0,875,0,879,0.08
218,1,0.12,2,0.0,0.0,876,0,882,0.08
219,3,0.14,2,0.1111111111111111,0.0,879,0,886,0.08
220,1,0.3,3,0.0,0.0,880,0,895,0.08
221,6,0.26,2,0.05555555555555555,0.0,886,0,899,0.08
222,5,0.28,3,0.0,0.0,891,0,905,0.08
223,4,0.34,2,0.05,0.0,895,0,912,0.08
224,7,0.26,2,0.17647058823529413,0.0,902,0,915,0.08
225,5,0.22,2,0.06666666666666667,0.0,907,0,918,0.08
226,6,0.18,2,0.0,0.0,913,0,922,0.08
227,2,0.22,2,0.08333333333333333,0.0,915,0,926,0.08
228,5,0.22,3,0.0,0.0,920,0,931,0.08
229,4,0.22,2,0.0,0.0,924,0,935,0.08
230,3,0.24,2,0.0,0.0,927,0,939,0.08
231,7,0.24,2,0.0,0.0,934,0,946,0.08
232,4,0.3,2,0.05555555555555555,0.0,938,0,953,0.08
233,3,0.32,3,0.0,0.0,941,0,957,0.08
234,5,0.26,2,0.2,0.0,946,0,959,0.08
235,6,0.26,2,0.05555555555555555,0.0,952,0,965,0.08
236,4,0.3,3,0.11764705882352941,0.0,956,0,971,0.08
237,6,0.26,2,0.05555555555555555,0.0,962,0,975,0.08
238,7,0.22,1,0.0,0.0,969,0,980,0.08
239,6,0.16,2,0.0,0.0,975,0,983,0.08
240,2,0.24,2,0.07692307692307693,0.0,977,0,989,0.08
241,6,0.18,2,0.07142857142857142,0.0,983,0,992,0.08
242,3,0.18,3,0.0,0.0,986,0,995,0.08
243,2,0.22,3,0.18181818181818182,0.0,988,0,999,0.08
244,3,0.26,3,0.15384615384615385,0.0,991,0,1004,0.08
245,5,0.18,2,0.18181818181818182,0.0,996,0,1005,0.08
246,6,0.08,2,0.125,0.0,1002,0,1006,0.08
247,1,0.2,2,0.1,0.0,1003,0,1013,0.08
248,4,0.18,1,0.0,0.0,1007,0,1016,0.08
249,4,0.2,2,0.07692307692307693,0.0,1011,0,1021,0.08
250,2,0.28,2,0.0,0.0,1013,0,1027,0.08
251,4,0.28,3,0.0,0.0,1017,0,1031,0.08
252,5,0.2,3,0.07142857142857142,0.0,1022,0,1032,0.08
253,3,0.18,2,0.09090909090909091,0.0,1025,0,1034,0.08
254,4,0.2,3,0.0,0.0,1029,0,1039,0.08
255,5,0.28,3,0.0,0.0,1034,0,1048,0.08
256,6,0.18,1,0.07142857142857142,0.0,1040,0,1049,0.08
257,3,0.2,1,0.0,0.0,1043,0,1053,0.08
258,5,0.12,1,0.0,0.0,1048,0,1054,0.08
259,4,0.18,2,0.0,0.0,1052,0,1061,0.08
260,3,0.16,1,0.1,0.0,1055,0,1063,0.08
261,5,0.14,2,0.0,0.0,1060,0,1067,0.08
262,4,0.2,1,0.0,0.0,1064,0,1074,0.08
263,1,0.2,2,0.0,0.0,1065,0,1075,0.08
264,3,0.2,3,0.0,0.0,1068,0,1078,0.08
265,3,0.18,2,0.09090909090909091,0.0,1071,0,1080,0.08
266,5,0.12,1,0.0,0.0,1076,0,1082,0.08
267,3,0.08,1,0.0,0.0,1079,0,1083,0.08
268,1,0.12,2,0.0,0.0,1080,0,1086,0.08
269,1,0.16,2,0.125,0.0,1081,0,1089,0.08
270,1,0.16,1,0.0,0.0,1082,0,1090,0.08
271,3,0.18,3,0.0,0.0,1085,0,1094,0.08
272,3,0.22,4,0.16666666666666666,0.0,1088,0,1099,0.08
273,2,0.3,2,0.13333333333333333,0.0,1090,0,1105,0.08
274,2,0.34,3,0.05555555555555555,0.0,1092,0,1109,0.08
275,5,0.28,3,0.11764705882352941,0.0,1097,0,1111,0.08
276,5,0.28,2,0.26666666666666666,0.0,1102,0,1116,0.08
277,5,0.24,2,0.0625,0.0,1107,0,1119,0.08
278,4,0.22,2,0.15384615384615385,0.0,1111,0,1122,0.08
279,6,0.26,2,0.05555555555555555,0.0,1117,0,1130,0.08
280,2,0.24,2,0.0,0.0,1119,0,1131,0.08
281,6,0.2,3,0.06666666666666667,0.0,1125,0,1135,0.08
282,3,0.3,3,0.125,0.0,1128,0,1143,0.08
283,4,0.34,2,0.05,0.0,1132,0,1149,0.08
284,5,0.36,3,0.045454545454545456,0.0,1137,0,1155,0.08
285,5,0.36,3,0.0,0.0,1142,0,1160,0.08
286,8,0.28,2,0.047619047619047616,0.0,1150,0,1164,0.08
287,8,0.16,2,0.06666666666666667,0.0,1158,0,1166,0.08
288,3,0.22,2,0.07692307692307693,0.0,1161,0,1172,0.08
289,3,0.22,1,0.0,0.0,1164,0,1175,0.08
290,4,0.2,1,0.0,0.0,1168,0,1178,0.08
291,6,0.22,2,0.0,0.0,1174,0,1185,0.08
292,3,0.2,3,0.08333333333333333,0.0,1177,0,1187,0.08
293,1,0.28,2,0.15384615384615385,0.0,1178,0,1192,0.08
294,4,0.3,3,0.05555555555555555,0.0,1182,0,1197,0.08
295,6,0.32,2,0.1,0.0,1188,0,1204,0.08
296,7,0.26,2,0.05263157894736842,0.0,1195,0,1208,0.08
297,4,0.22,2,0.07142857142857142,0.0,1199,0,1210,0.08
298,5,0.2,2,0.07142857142857142,0.0,1204,0,1214,0.08
299,4,0.24,1,0.14285714285714285,0.0,1208,0,1220,0.08
300,4,0.32,3,0.05263157894736842,0.0,1212,0,1228,0.08
