step,throughput,mean_queue,max_queue,prop_congested_edges,prop_congested_nodes,delivered_cum,dropped_cum,generated_cum,mean_gen_rate
223,8,3.28,10,0.6333333333333333,0.08,1970,477,2611,0.21832204604872224
224,7,3.3,9,0.5161290322580645,0.08,1977,478,2620,0.2178731785774928
225,5,3.32,10,0.6851851851851852,0.12,1982,481,2629,0.22088856278205984
226,9,3.16,10,0.6140350877192983,0.12,1991,487,2636,0.22363060663930662
227,6,3.22,10,0.6101694915254238,0.04,1997,487,2645,0.22711206363051661
228,5,3.3,9,0.7,0.1,2002,487,2654,0.22769949408606766
229,9,3.14,10,0.6307692307692307,0.08,2011,493,2661,0.2311165951628842
230,7,3.24,9,0.48484848484848486,0.08,2018,495,2675,0.23563447528400416
231,12,3.2,9,0.5967741935483871,0.08,2030,495,2685,0.2402604490786954
232,11,3.3,9,0.6190476190476191,0.08,2041,495,2701,0.2436715701958671
233,8,3.32,10,0.6666666666666666,0.04,2049,498,2713,0.24371319237910058
234,8,3.4,9,0.6190476190476191,0.1,2057,499,2726,0.24688731011936052
235,8,3.46,10,0.6935483870967742,0.16,2065,502,2740,0.2450355431373504
236,8,3.48,10,0.582089552238806,0.12,2073,506,2753,0.24406493546116156
237,8,3.56,10,0.5757575757575758,0.1,2081,509,2768,0.23624375000105816
238,9,3.6,10,0.6666666666666666,0.06,2090,511,2781,0.22634838968110785
239,6,3.64,10,0.7333333333333333,0.06,2096,512,2790,0.21988085434634833
240,8,3.64,9,0.6721311475409836,0.12,2104,513,2799,0.20744692403299822
241,6,3.76,9,0.6923076923076923,0.08,2110,514,2812,0.19304949020809756
242,8,3.74,9,0.7230769230769231,0.08,2118,515,2820,0.18741462998721123
243,12,3.62,10,0.5675675675675675,0.12,2130,516,2827,0.18980526103153048
244,10,3.58,10,0.6029411764705882,0.1,2140,519,2838,0.19443968757078253
245,12,3.48,10,0.6307692307692307,0.12,2152,523,2849,0.19875301191869138
246,8,3.48,9,0.6190476190476191,0.12,2160,524,2858,0.19366474979038262
247,10,3.42,10,0.578125,0.06,2170,525,2866,0.19229775484556832
248,8,3.54,10,0.5846153846153846,0.06,2178,526,2881,0.1896910269992726
249,7,3.54,9,0.6029411764705882,0.1,2185,527,2889,0.18940141470743654
250,9,3.42,10,0.6153846153846154,0.1,2194,529,2894,0.19437419488532381
251,14,3.22,10,0.639344262295082,0.08,2208,534,2903,0.19688827889792176
252,6,3.2,8,0.6964285714285714,0.02,2214,534,2908,0.20144409934046753
253,8,3.28,9,0.5735294117647058,0.08,2222,536,2922,0.20436497246782945
254,13,3.1,10,0.5522388059701493,0.1,2235,541,2931,0.2093001171579021
255,12,3.08,9,0.6,0.1,2247,541,2942,0.21448636548418765
256,10,3.1,8,0.6166666666666667,0.08,2257,541,2953,0.21774961987051747
257,13,3.12,9,0.5633802816901409,0.02,2270,542,2968,0.21976844103272922
258,14,3.02,10,0.5588235294117647,0.1,2284,543,2978,0.22458942616860877
259,8,2.88,10,0.5737704918032787,0.1,2292,548,2984,0.22537611922932782
260,9,2.88,10,0.6153846153846154,0.12,2301,548,2993,0.22896503598630197
261,7,3.0,8,0.5555555555555556,0.08,2308,548,3006,0.23293387643000135
262,8,3.0,10,0.5806451612903226,0.04,2316,549,3015,0.2312183279231689
263,7,2.9,10,0.5932203389830508,0.04,2323,556,3024,0.23346475256745503
264,6,2.98,10,0.6206896551724138,0.06,2329,558,3036,0.2371170773094733
265,8,2.98,10,0.4915254237288136,0.1,2337,562,3048,0.24165739983673246
266,6,3.1,10,0.5818181818181818,0.1,2343,562,3060,0.23510997115666946
267,6,3.12,8,0.5614035087719298,0.1,2349,562,3067,0.23287072395900238
268,4,3.26,10,0.6,0.08,2353,564,3080,0.2350670877501417
269,5,3.36,10,0.5238095238095238,0.12,2358,567,3093,0.23687089288356306
270,9,3.34,10,0.5692307692307692,0.08,2367,568,3102,0.23792559976698852
271,9,3.36,10,0.5441176470588235,0.06,2376,570,3114,0.23985682312142423
272,7,3.4,10,0.6825396825396826,0.08,2383,575,3128,0.23137974953593132
273,6,3.5,9,0.640625,0.08,2389,577,3141,0.22595916271288233
274,6,3.58,10,0.65625,0.16,2395,577,3151,0.2216488693013578
275,8,3.74,10,0.6142857142857143,0.14,2403,579,3169,0.22583478190439785
276,10,3.74,9,0.6268656716417911,0.12,2413,580,3180,0.21949882707368654
277,9,3.74,10,0.5147058823529411,0.1,2422,583,3192,0.21661407460786347
278,8,3.62,10,0.7090909090909091,0.12,2430,590,3201,0.215702847660306
279,8,3.56,9,0.5737704918032787,0.12,2438,592,3208,0.21812534996302768
280,9,3.54,10,0.6101694915254238,0.08,2447,595,3219,0.216059685190921
281,8,3.52,10,0.7049180327868853,0.1,2455,599,3230,0.21224459527362888
282,5,3.58,10,0.6461538461538462,0.1,2460,603,3242,0.20748121287536733
283,8,3.58,10,0.6666666666666666,0.1,2468,604,3251,0.20583127891815184
284,6,3.68,10,0.6349206349206349,0.08,2474,605,3263,0.2052307145847256
285,7,3.74,9,0.609375,0.14,2481,605,3273,0.20214381158949735
286,9,3.6,10,0.6129032258064516,0.16,2490,610,3280,0.20385102322862353
287,7,3.58,10,0.6666666666666666,0.06,2497,614,3290,0.2064967642777514
288,7,3.7,9,0.5942028985507246,0.08,2504,616,3305,0.20328784493027643
289,8,3.74,10,0.6615384615384615,0.1,2512,619,3318,0.2053403017378519
290,8,3.64,10,0.6349206349206349,0.14,2520,624,3326,0.20578674245898873
291,7,3.66,10,0.6065573770491803,0.12,2527,624,3334,0.20873785907943707
292,11,3.62,10,0.5441176470588235,0.1,2538,627,3346,0.21245414093955456
293,9,3.58,10,0.6557377049180327,0.12,2547,628,3354,0.21524620251542573
294,5,3.54,10,0.6724137931034483,0.12,2552,633,3362,0.214805826854246
295,8,3.52,10,0.5833333333333334,0.12,2560,637,3373,0.21394433040254246
296,4,3.46,9,0.5789473684210527,0.08,2564,641,3378,0.20952490039362265
297,2,3.68,9,0.7049180327868853,0.04,2566,642,3392,0.2071027618043551
298,13,3.64,10,0.4805194805194805,0.1,2579,644,3405,0.1972800599122532
299,11,3.56,10,0.5142857142857142,0.12,2590,649,3417,0.20016209228608509
300,9,3.56,10,0.576271186440678,0.12,2599,649,3426,0.2049179309357606
