generated,delivered,dropped,rejected_at_admission,delivery_ratio,mean_latency,mean_queue_len,max_queue_len,prop_congested_edges,prop_congested_nodes,total_delivered_throughput,n_congestion_episodes,mean_recovery_time_steps,scenario,control_enabled,seed
3693,2903,715,95,0.7860817763336041,6.798139855322081,1.5023333333333333,10,0.33066303673730685,0.06806666666666668,2903,17,14.176470588235293,media,False,1009
2838,2418,320,2,0.8520084566596194,8.33705541770058,1.9154666666666667,10,0.43911243901559693,0.03913333333333333,2418,45,2.111111111111111,media,True,1000
3583,3536,7,0,0.9868825006977393,3.6623303167420813,0.8825333333333333,10,0.24342290093119687,0.006,3536,0,0.0,media,True,1001
3400,3342,21,0,0.9829411764705882,4.211549970077797,0.9505333333333335,10,0.26235562106138505,0.005066666666666666,3342,0,0.0,media,True,1002
3142,3030,59,2,0.9643539147040102,6.985478547854785,1.4505333333333335,10,0.3716330263311654,0.018000000000000002,3030,8,1.125,media,True,1003
3208,3046,80,2,0.949501246882793,6.123768877216021,1.3877333333333333,10,0.33733720034524317,0.017066666666666667,3046,6,1.1666666666666667,media,True,1004
3053,2850,118,1,0.9335080248935473,7.779298245614035,1.6758,10,0.40868318550634275,0.023533333333333337,2850,16,1.25,media,True,1005
3358,3253,50,0,0.9687313877307921,5.644328312327083,1.2756,10,0.32898177342938,0.017266666666666666,3253,5,1.2,media,True,1006
3280,3197,26,0,0.9746951219512195,5.534876446668752,1.2398,10,0.3109808746066191,0.008933333333333333,3197,2,1.0,media,True,1007
3303,3207,28,0,0.9709355131698456,5.940442781415653,1.3206,10,0.33247973430853334,0.013133333333333334,3207,4,1.0,media,True,1008
2757,2312,327,0,0.8385926731955023,10.038494809688581,2.2082,10,0.4980811295240027,0.051199999999999996,2312,46,3.391304347826087,media,True,1009
6714,3757,2804,796,0.5595770032767352,7.333776949693905,2.8722,10,0.3972255923897122,0.20533333333333334,3757,0,0.0,alta,False,1000
6947,4803,2009,667,0.6913775730531164,6.792004996876952,2.728266666666667,10,0.3760629294565118,0.18446666666666667,4803,0,0.0,alta,False,1001
7051,4409,2503,448,0.6253013756913913,6.791335903833069,2.7230666666666665,10,0.3874348607295454,0.1858,4409,0,0.0,alta,False,1002
6680,3895,2654,817,0.5830838323353293,7.527086007702183,2.6712000000000002,10,0.3932578799301101,0.16846666666666665,3895,0,0.0,alta,False,1003
6752,4006,2573,754,0.5933056872037915,8.879930104842735,3.2411333333333334,10,0.4466177772339205,0.21813333333333332,4006,0,0.0,alta,False,1004
6400,3433,2808,1063,0.53640625,9.83716865715118,3.1210666666666667,10,0.42104455563804133,0.23979999999999999,3433,0,0.0,alta,False,1005
6916,4471,2287,641,0.646471949103528,7.751957056586893,2.9176666666666664,10,0.400264778619353,0.20833333333333334,4471,0,0.0,alta,False,1006
6445,3566,2678,935,0.5532971295577968,10.823611890072911,3.5608666666666666,10,0.4513186115203945,0.2752,3566,0,0.0,alta,False,1007
6859,3888,2818,647,0.5668464790785829,8.226851851851851,3.0678666666666667,10,0.4112254035288088,0.22300000000000003,3888,0,0.0,alta,False,1008
6545,3042,3314,952,0.46478227654698245,10.002301117685732,3.490466666666667,10,0.46511496343559117,0.266,3042,0,0.0,alta,False,1009
3426,2599,649,4,0.7586106246351431,11.077722200846479,3.2989333333333333,10,0.5815302328873478,0.0876,2599,18,14.833333333333334,alta,True,1000
4758,4506,136,2,0.9470365699873896,7.53040390590324,2.4203333333333332,10,0.4650025890758825,0.039799999999999995,4506,45,2.0444444444444443,alta,True,1001
3857,3235,478,2,0.8387347679543686,10.834003091190109,3.1394,10,0.5506930711998661,0.07946666666666667,3235,34,7.029411764705882,alta,True,1002
3488,2867,449,2,0.8219610091743119,12.204394837809557,3.2420666666666667,10,0.5851301749570681,0.0776,2867,32,7.625,alta,True,1003
3427,2748,518,5,0.8018675226145316,12.25254730713246,3.2738,10,0.5853842399412647,0.08553333333333334,2748,24,9.541666666666666,alta,True,1004
3575,2970,444,5,0.8307692307692308,11.92020202020202,3.2896666666666667,10,0.5825437593532332,0.08360000000000001,2970,25,9.96,alta,True,1005
4223,3671,391,0,0.869287236561686,9.131571778806865,2.9030666666666667,10,0.5142707615649652,0.06313333333333333,3671,43,4.558139534883721,alta,True,1006
3915,3507,267,0,0.8957854406130268,10.085828343313374,2.9604666666666666,10,0.5332431727979172,0.06433333333333334,3507,46,4.630434782608695,alta,True,1007
3754,3283,300,0,0.8745338305807139,11.599756320438622,3.1001999999999996,10,0.5624128527879272,0.06813333333333334,3283,41,5.341463414634147,alta,True,1008
2958,2258,535,6,0.7633536173089925,15.574402125775022,3.5641333333333334,10,0.6348784870497762,0.10433333333333333,2258,10,27.6,alta,True,1009
